categoria,empresa,piso,aniodelregistro,cuit,idempresa,numero,calle,fecha_data,oficina,cp,mail,telefono,numeroregistro,tejas_match,tejas_found_in
No Operadora,NORTHWEST ARGENTINA CORPORATION (SUCURSAL ARGENTINA),22,2011,30616185787.0,1219,265,Ing. Carlos Maria Della Paolera,2011-07-22T00:00:00,A,1001,apco@apco.com.ar,5277-6999,324,False,
Operadora,O&G DEVELOPMENTS LTD S.A.,4,2011,30695570933.0,1116,788,Avda. Roque Saenz Peña ,2012-01-18T00:00:00,-,1035,Matias.Goldentul@shell.com,41302000,280,False,
Operadora,OIL M&S S.A.,7,2011,30707620567.0,1053,657,Av. Córdoba,2011-10-21T00:00:00,,C1054AAF,info@oilms.com.ar,4314-1006,372,False,
Operadora,OILSTONE ENERGIA S.A.,9,2011,30711732752.0,1275,1230,Sarmiento ,2011-07-27T00:00:00,,C1041AAZ,info@martelliabogados.com,41324100,427,False,
Operadora,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,1,2011,30695542476.0,225,1180,Av. Leandro N. Alem,2011-01-18T00:00:00,,1001,msferreyra@pan-energy.com,4310-4100,18,False,
Operadora,PAN AMERICAN FUEGUINA S.A.,1,2011,30697282196.0,226,1180,Av. Leandro N. Alem,2011-01-18T00:00:00,,1001,msferreyra@pan-energy.com,4310-4293,288,False,
No Operadora,PAN AMERICAN SUR S.A.,1,2011,30697281963.0,259,1180,Domicilio Fiscal: Av. Leandro N. Alem,2011-01-18T00:00:00,,1001,msferreyra@pan-energy.com,4310-4293,289,False,
Operadora,PETROBRAS ARGENTINA S.A.,,2011,30504077078.0,233,1,Maipú ,2011-07-27T00:00:00,,C1084ABA,enrique.prini@petrobras.com,4344-6265,24,False,
Operadora,PETROFARO S.A.,9,2011,30708304081.0,1184,1230,Sarmiento,2011-07-19T00:00:00,,C1041AAZ,,4132-4100,353,False,
Operadora,PETROLERA CERRO NEGRO S.A.,10,2011,30709918733.0,1229,657,Av. Córdoba,2011-10-21T00:00:00,,1054,,4314-1006,421,False,
Operadora,PETROLERA EL TREBOL S.A.,5,2011,30705037775.0,1011,826,Talcahuano,2011-07-19T00:00:00,,1013,rgomezdiez@petrebol.com.ar,011-5258-7500,325,False,
Operadora,PETROLERA ENTRE LOMAS S.A.,18,2011,33515950899.0,244,680,Bouchard,2011-07-08T00:00:00,,C1106ABJ,,4313-4260,213,False,
Operadora,PETROLERA SAN JOSE S.R.L.,23,2011,30708461101.0,277,1300,Maipu,2011-08-05T00:00:00,,1006,,4313-6316,349,False,
No Operadora,PETROLERA TDF COMPANY S.R.L.,12,2011,33709551189.0,1132,1,Tucuman,2011-09-02T00:00:00,,C1049AAA,,4335-5200,371,False,
Operadora,PETROQUIMICA COMODORO RIVADAVIA S.A.,3,2011,30563598111.0,236,2030/50,Alicia Moreau de Justo,2011-06-07T00:00:00,304,1107,ffridman@pcr.com.ar CC mjuarezgoni@pcr.com.ar,4124-9800,92,False,
No Operadora,PETROURUGUAY S.A.,12,2011,30644648717.0,346,498,Avenida Del Libertador,2011-05-13T00:00:00,1220,1001,,45159200,423,False,
Operadora,PLUSPETROL ENERGY S.A.,,2011,30568572099.0,362,339,Lima,2011-06-22T00:00:00,,C1073AAG,,54-11-4340-2222,109,False,
Operadora,PLUSPETROL S.A.,,2011,30678224010.0,256,339,Lima,2011-06-22T00:00:00,,C1073AAG,,54-11-4340-2222,257,False,
Operadora,PRESIDENT PETROLEUM S.A.,,2011,30711913439.0,1283,"421, torre 1, Complejo Madero Harbour",Lola Mora,2011-08-02T00:00:00,1602,C1107DDA,,43125001,434,False,
Operadora,QUINTANA E&P ARGENTINA S.R.L.,2,2011,30711540268.0,1270,836,Cerrito,2011-08-05T00:00:00,C,C1010AAR,,5272-5182,425,False,
Operadora,ROCH S.A.,21,2011,30638375628.0,295,1020,Av. Eduardo Madero,2011-05-20T00:00:00,,C1106ACX,pdelibes@roch.com.ar,4315-7624,134,False,
Operadora,ROVELLA CARRANZA S.A.,,2011,30615224827.0,1221,"8,9",DESVIO A PESCADORES,2011-09-05T00:00:00,,5700,rc@rovellacarranza.com.ar,02652 536100,409,False,
Operadora,ROVELLA CARRANZA S.A.,4,2011,30615224827.0,1221,970 ,MORENO ,2011-09-05T00:00:00,81,C1091AAT,rc@rovellacarranza.com.ar,011 4342 2845,409,False,
No Operadora,SECRA S.A.,21,2011,30709164992.0,1262,1020,AVENIDA EDUARDO MADERO,2011-03-28T00:00:00,,1106,pdelibes@roch.com.ar,4315-7624,428,False,
Operadora,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",1,2011,30642651397.0,1274,323,Manuela Saenz ,2011-08-16T00:00:00,,1107 BPA,,4324-5000,132,False,
Operadora,SOUTHAMERICAN HEDGE FUND LLC Sucursal Argentina,4°,2011,30711311099.0,1259,434,Hipólito Yrigoyen,2011-07-04T00:00:00,"""E""",1086,amacmullen@sinectis.com.ar,4342 2150,426,False,
Operadora,TECPETROL S.A.,20,2011,30592665472.0,337,299,C.M. Della Paolera,2011-07-28T00:00:00,,C1001 ADA,,(+54911) 40185900,121,False,
No Operadora,TIERRA DEL FUEGO ENERGIA Y QUIMICA S.A.,2,2011,30710725507.0,1257,1150,Alicia Moreau de Justo ,2011-10-19T00:00:00,204 B,C1107AAX,,4342-5235 4343-0727,429,False,
Operadora,TOTAL AUSTRAL S.A.,17,2011,30569719344.0,323,877,Moreno,2011-08-23T00:00:00,,1091,claudia.krinski@total.com,43466400,226,False,
Operadora,TOTAL AUSTRAL S.A.,17,2011,30569719344.0,323,877,Moreno,2011-08-23T00:00:00,,1091,,4346-6400,226,False,
Operadora,TRIPETROL PETROLEUM S.A.,23,2011,30644749025.0,1185,1300,Maipu,2011-08-05T00:00:00,,1006,,4313-6307,397,False,
Operadora,UNITEC ENERGY S.A.,,2011,30710468377.0,1187,1745,Bonpland,2012-01-19T00:00:00,,1414,,(011)4899-6450,411,False,
Operadora,WINTERSHALL ENERGIA S.A.,14,2011,30601534815.0,356,265,Della Paolera,2011-07-28T00:00:00,,1001,,5554-2700,233,False,
Operadora,YPF S.A.,,2011,30546689979.0,360,515,MACACHA GÜEMES,2011-07-12T00:00:00,,C1106BKK,,011-5441-2000,215,False,
Operadora,YSUR ENERGÍA ARGENTINA S.R.L.,12,2011,30654521561.0,1024,1,Tucuman,2011-07-15T00:00:00,-,C1049AAA,apacheargentina@apachecorp.com,4335-5200,208,False,
Operadora,YSUR PETROLERA ARGENTINA S.A.,12,2011,30658994251.0,27,1,Tucuman,2011-07-18T00:00:00,,1049,,43555200,235,False,
Operadora,ARGENTA ENERGIA S.A.,18,2015,30709381705.0,1108,890,Florida,2015-01-12T00:00:00,,C1005AAR,jpeverelli@azaenergy.com,4893-4004,368,False,
Operadora,QUINTANA E&P ARGENTINA S.R.L.,5,2015,30711540268.0,1270,1131,Av Córdoba,2015-01-29T00:00:00,,C1055AAB,,5272-5190,425,False,
