numero;tipo;gravidade;evento
2404/972269;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Ekofisk Complex) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2404/803071;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Heidrun) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2404/858231;SSO - Major structural fatigue or damage;MINOR;(NCS-Gullfaks C) Detected structural failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2404/865559;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Troll A) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2404/778697;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Asgard A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2404/663531;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Gullfaks C) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2404/519145;SSO - CSB / Shear system malfunction;MODERATE;(NCS-Asgard A) Detected csb failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2404/493069;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Asgard A) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2404/258927;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Troll A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2404/171263;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Asgard A) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2403/998532;SSO - Accidental hydrocarbon leak >0.1kg/s;MODERATE;(NCS-Gullfaks C) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2403/951053;SSO - BOP failure during test/operation;SEVERE;(NCS-Ekofisk Complex) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2403/836074;SSO - Dropped objects > 50 Joules;MODERATE;(NCS-Valhall) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2403/842748;SSO - Accidental hydrocarbon leak >0.1kg/s;MODERATE;(NCS-Valhall) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2403/869665;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Martin Linge) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2403/702026;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Ekofisk Complex) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2403/673969;SSO - Major structural fatigue or damage;MINOR;(NCS-Johan Sverdrup) Detected structural failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2403/517364;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Asgard A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2403/532350;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Statfjord B) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2403/437711;SSO - Dropped objects > 50 Joules;MODERATE;(NCS-Gullfaks C) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2403/314715;SSO - Accidental hydrocarbon leak >0.1kg/s;MODERATE;(NCS-Martin Linge) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2403/113123;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Oseberg Field Centre) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2403/087575;SSO - Major structural fatigue or damage;MINOR;(NCS-Johan Sverdrup) Detected structural failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2403/096912;SSO - Dropped objects > 50 Joules;SEVERE;(NCS-Asgard A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2403/096765;SSO - Major structural fatigue or damage;MINOR;(NCS-Oseberg Field Centre) Detected structural failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2403/067824;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Heidrun) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2403/057151;SSO - BOP failure during test/operation;MINOR;(NCS-Martin Linge) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2402/985694;SSO - Complete loss of well control;MODERATE;(NCS-Martin Linge) Detected loss of well control condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2402/926794;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Johan Sverdrup) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2402/963574;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Troll A) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2402/906812;SSO - Dropped objects > 50 Joules;MODERATE;(NCS-Martin Linge) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2402/842949;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Heidrun) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2402/768260;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Troll A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2402/686258;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Ekofisk Complex) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2402/623942;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Johan Sverdrup) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2402/661465;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Aasta Hansteen) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2402/531420;SSO - BOP failure during test/operation;MINOR;(NCS-Oseberg Field Centre) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2402/571750;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Oseberg Field Centre) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2402/540536;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Valhall) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2402/453795;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Oseberg Field Centre) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2402/380546;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Gullfaks C) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2402/357919;SSO - Dropped objects > 50 Joules;MODERATE;(NCS-Oseberg Field Centre) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2402/372164;SSO - BOP failure during test/operation;MINOR;(NCS-Troll A) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2402/203490;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Troll A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2402/189604;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Valhall) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2402/152053;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Heidrun) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2402/104731;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Gullfaks C) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2402/188685;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Aasta Hansteen) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2402/046421;SSO - CSB / Shear system malfunction;MODERATE;(NCS-Troll A) Detected csb failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2401/939817;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Valhall) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2401/844743;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Asgard A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2401/851892;SSO - Accidental hydrocarbon leak >0.1kg/s;MODERATE;(NCS-Martin Linge) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2401/835180;SSO - Incident involving Well Control equipment / kick;SEVERE;(NCS-Troll A) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2401/802801;SSO - BOP failure during test/operation;MINOR;(NCS-Ekofisk Complex) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2401/750766;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Oseberg Field Centre) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2401/657299;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Troll A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2401/682196;SSO - BOP failure during test/operation;MINOR;(NCS-Ekofisk Complex) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2401/599895;SSO - Accidental hydrocarbon leak >0.1kg/s;MODERATE;(NCS-Aasta Hansteen) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2401/436375;SSO - Incident involving Well Control equipment / kick;MODERATE;(NCS-Gullfaks C) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2401/206664;SSO - Major structural fatigue or damage;SEVERE;(NCS-Martin Linge) Detected structural failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2401/088475;SSO - Dropped objects > 50 Joules;SEVERE;(NCS-Gullfaks C) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2401/031285;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Valhall) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2312/845972;SSO - Incident involving Well Control equipment / kick;MODERATE;(NCS-Asgard A) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2312/719293;SSO - Dropped objects > 50 Joules;MODERATE;(NCS-Martin Linge) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2312/757746;SSO - Dropped objects > 50 Joules;MODERATE;(NCS-Oseberg Field Centre) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2312/608519;SSO - Dropped objects > 50 Joules;MODERATE;(NCS-Martin Linge) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2312/645916;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Statfjord B) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2312/567289;SSO - Major structural fatigue or damage;MINOR;(NCS-Oseberg Field Centre) Detected structural failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2312/425445;SSO - Major structural fatigue or damage;MINOR;(NCS-Aasta Hansteen) Detected structural failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2312/350271;SSO - Dropped objects > 50 Joules;MODERATE;(NCS-Gullfaks C) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2312/366143;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Heidrun) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2312/327003;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Troll A) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2311/745963;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Gullfaks C) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2311/712674;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Snorre A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2311/696797;SSO - Complete loss of well control;MINOR;(NCS-Ekofisk Complex) Detected loss of well control condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2311/582435;SSO - Incident involving Well Control equipment / kick;MODERATE;(NCS-Asgard A) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2311/540252;SSO - Accidental hydrocarbon leak >0.1kg/s;SEVERE;(NCS-Statfjord B) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2311/579248;SSO - Major structural fatigue or damage;MINOR;(NCS-Martin Linge) Detected structural failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2311/466941;SSO - Dropped objects > 50 Joules;MODERATE;(NCS-Valhall) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2311/390920;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Gullfaks C) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2311/395727;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Ekofisk Complex) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2311/216585;SSO - Incident involving Well Control equipment / kick;SEVERE;(NCS-Johan Sverdrup) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2311/266324;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Statfjord B) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2311/294123;SSO - Major structural fatigue or damage;MINOR;(NCS-Heidrun) Detected structural failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2311/097693;SSO - CSB / Shear system malfunction;MODERATE;(NCS-Oseberg Field Centre) Detected csb failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2310/948562;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Snorre A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2310/855054;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Troll A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2310/822854;SSO - Major structural fatigue or damage;SEVERE;(NCS-Heidrun) Detected structural failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2310/728024;SSO - Complete loss of well control;MINOR;(NCS-Statfjord B) Detected loss of well control condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2310/635130;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Aasta Hansteen) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2310/583913;SSO - Major structural fatigue or damage;SEVERE;(NCS-Aasta Hansteen) Detected structural failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2310/582205;SSO - CSB / Shear system malfunction;MINOR;(NCS-Martin Linge) Detected csb failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2310/477453;SSO - Major structural fatigue or damage;MODERATE;(NCS-Snorre A) Detected structural failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2310/476152;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Johan Sverdrup) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2310/369988;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Ekofisk Complex) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2310/268626;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Martin Linge) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2310/138624;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Valhall) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2309/970689;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Aasta Hansteen) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2309/893956;SSO - Incident involving Well Control equipment / kick;MODERATE;(NCS-Gullfaks C) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2309/807074;SSO - Major structural fatigue or damage;MINOR;(NCS-Ekofisk Complex) Detected structural failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2309/733837;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Snorre A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2309/609063;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Heidrun) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2309/578184;SSO - Major structural fatigue or damage;MINOR;(NCS-Valhall) Detected structural failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2309/490523;SSO - Major structural fatigue or damage;MODERATE;(NCS-Troll A) Detected structural failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2309/392272;SSO - Major structural fatigue or damage;MINOR;(NCS-Oseberg Field Centre) Detected structural failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2309/342996;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Valhall) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2309/309954;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Troll A) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2309/332518;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Statfjord B) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2309/243022;SSO - BOP failure during test/operation;MINOR;(NCS-Statfjord B) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2309/157463;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Oseberg Field Centre) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2309/002333;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Oseberg Field Centre) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2308/853601;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Statfjord B) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2308/887294;SSO - Dropped objects > 50 Joules;MODERATE;(NCS-Martin Linge) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2308/827915;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Valhall) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2308/648204;SSO - Accidental hydrocarbon leak >0.1kg/s;MODERATE;(NCS-Heidrun) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2308/589494;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Johan Sverdrup) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2308/348866;SSO - Dropped objects > 50 Joules;MODERATE;(NCS-Asgard A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2308/324068;SSO - Dropped objects > 50 Joules;SEVERE;(NCS-Martin Linge) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2308/294992;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Asgard A) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2308/238854;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Heidrun) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2308/228607;SSO - BOP failure during test/operation;MINOR;(NCS-Ekofisk Complex) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2308/267059;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Statfjord B) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2308/273404;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Oseberg Field Centre) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2308/225794;SSO - Dropped objects > 50 Joules;MODERATE;(NCS-Asgard A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2308/192135;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Asgard A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2308/155575;SSO - Major structural fatigue or damage;MODERATE;(NCS-Snorre A) Detected structural failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2308/020363;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Oseberg Field Centre) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2308/096214;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Gullfaks C) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2308/012519;SSO - Major structural fatigue or damage;MINOR;(NCS-Gullfaks C) Detected structural failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2308/007070;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Martin Linge) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2307/874205;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Gullfaks C) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2307/899681;SSO - Complete loss of well control;MINOR;(NCS-Gullfaks C) Detected loss of well control condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2307/737719;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Valhall) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2307/783422;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Troll A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2307/714288;SSO - BOP failure during test/operation;MINOR;(NCS-Heidrun) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2307/607066;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Ekofisk Complex) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2307/690314;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Martin Linge) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2307/686519;SSO - CSB / Shear system malfunction;MODERATE;(NCS-Valhall) Detected csb failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2307/668610;SSO - BOP failure during test/operation;MODERATE;(NCS-Asgard A) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2307/540068;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Ekofisk Complex) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2307/509556;SSO - CSB / Shear system malfunction;MINOR;(NCS-Ekofisk Complex) Detected csb failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2307/507384;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Oseberg Field Centre) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2307/204457;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Valhall) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2307/250377;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Troll A) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2307/178818;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Valhall) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2307/065585;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Valhall) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2306/842212;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Ekofisk Complex) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2306/760791;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Heidrun) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2306/735149;SSO - Dropped objects > 50 Joules;SEVERE;(NCS-Troll A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2306/612224;SSO - Dropped objects > 50 Joules;SEVERE;(NCS-Valhall) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2306/692176;SSO - Incident involving Well Control equipment / kick;SEVERE;(NCS-Martin Linge) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2306/631407;SSO - CSB / Shear system malfunction;MODERATE;(NCS-Snorre A) Detected csb failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2306/588372;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Ekofisk Complex) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2306/518482;SSO - Accidental hydrocarbon leak >0.1kg/s;MODERATE;(NCS-Troll A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2306/448589;SSO - Dropped objects > 50 Joules;MODERATE;(NCS-Snorre A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2306/400383;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Ekofisk Complex) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2306/418242;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Statfjord B) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2306/467622;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Johan Sverdrup) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2306/429744;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Asgard A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2306/301643;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Aasta Hansteen) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2306/245049;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Asgard A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2306/025120;SSO - Complete loss of well control;MINOR;(NCS-Aasta Hansteen) Detected loss of well control condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2306/040310;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Valhall) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2306/002486;SSO - CSB / Shear system malfunction;MINOR;(NCS-Statfjord B) Detected csb failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2305/871725;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Ekofisk Complex) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2305/722355;SSO - BOP failure during test/operation;MINOR;(NCS-Johan Sverdrup) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
